onset	duration	trial_type	value	sample
409.8976	0.0	trigger	1	2049488
409.9608	0.0	trigger	1	2049804
409.9608	0.0002	Response/R128	3	2049804
410.0232	0.0	missing_trigger	6	2050116
410.0232	0.0	trigger	1	2050116
410.0858	0.0	missing_trigger	6	2050429
410.0858	0.0	trigger	1	2050429
410.1482	0.0	missing_trigger	6	2050741
410.1482	0.0	trigger	1	2050741
410.2108	0.0	missing_trigger	6	2051054
410.2108	0.0	trigger	1	2051054
410.2732	0.0	missing_trigger	6	2051366
410.2732	0.0	trigger	1	2051366
410.3356	0.0	missing_trigger	6	2051678
410.3356	0.0	trigger	1	2051678
410.3982	0.0	missing_trigger	6	2051991
410.3982	0.0	trigger	1	2051991
410.4606	0.0	missing_trigger	6	2052303
410.4606	0.0	trigger	1	2052303
410.5232	0.0	missing_trigger	6	2052616
410.5232	0.0	trigger	1	2052616
410.5856	0.0	missing_trigger	6	2052928
410.5856	0.0	trigger	1	2052928
410.648	0.0	missing_trigger	6	2053240
410.648	0.0	trigger	1	2053240
410.7106	0.0	missing_trigger	6	2053553
410.7106	0.0	trigger	1	2053553
410.773	0.0	missing_trigger	6	2053865
410.773	0.0	trigger	1	2053865
410.8356	0.0	missing_trigger	6	2054178
410.8356	0.0	trigger	1	2054178
410.898	0.0	missing_trigger	6	2054490
410.898	0.0	trigger	1	2054490
410.9604	0.0	missing_trigger	6	2054802
410.9604	0.0	trigger	1	2054802
411.023	0.0	missing_trigger	6	2055115
411.023	0.0	trigger	1	2055115
411.0854	0.0	missing_trigger	6	2055427
411.0854	0.0	trigger	1	2055427
411.148	0.0	missing_trigger	6	2055740
411.148	0.0	trigger	1	2055740
411.2104	0.0	missing_trigger	6	2056052
411.2104	0.0	trigger	1	2056052
411.2728	0.0	missing_trigger	6	2056364
411.2728	0.0	trigger	1	2056364
411.3354	0.0	missing_trigger	6	2056677
411.3354	0.0	trigger	1	2056677
411.3978	0.0	missing_trigger	6	2056989
411.3978	0.0	trigger	1	2056989
411.4604	0.0	missing_trigger	6	2057302
411.4604	0.0	trigger	1	2057302
411.5228	0.0	missing_trigger	6	2057614
411.5228	0.0	trigger	1	2057614
411.5852	0.0	missing_trigger	6	2057926
411.5852	0.0	trigger	1	2057926
411.6478	0.0	missing_trigger	6	2058239
411.6478	0.0	trigger	1	2058239
411.7102	0.0	missing_trigger	6	2058551
411.7102	0.0	trigger	1	2058551
411.7728	0.0	missing_trigger	6	2058864
411.7728	0.0	trigger	1	2058864
411.8352	0.0	missing_trigger	6	2059176
411.8352	0.0	trigger	1	2059176
411.8976	0.0	missing_trigger	6	2059488
411.8976	0.0	trigger	1	2059488
411.9608	0.0	trigger	1	2059804
411.9608	0.0002	Response/R128	3	2059804
412.0232	0.0	missing_trigger	6	2060116
412.0232	0.0	trigger	1	2060116
412.0858	0.0	missing_trigger	6	2060429
412.0858	0.0	trigger	1	2060429
412.1482	0.0	missing_trigger	6	2060741
412.1482	0.0	trigger	1	2060741
412.2108	0.0	missing_trigger	6	2061054
412.2108	0.0	trigger	1	2061054
412.2732	0.0	missing_trigger	6	2061366
412.2732	0.0	trigger	1	2061366
412.3356	0.0	missing_trigger	6	2061678
412.3356	0.0	trigger	1	2061678
412.3982	0.0	missing_trigger	6	2061991
412.3982	0.0	trigger	1	2061991
412.4606	0.0	missing_trigger	6	2062303
412.4606	0.0	trigger	1	2062303
412.5232	0.0	missing_trigger	6	2062616
412.5232	0.0	trigger	1	2062616
412.5856	0.0	missing_trigger	6	2062928
412.5856	0.0	trigger	1	2062928
412.648	0.0	missing_trigger	6	2063240
412.648	0.0	trigger	1	2063240
412.7106	0.0	missing_trigger	6	2063553
412.7106	0.0	trigger	1	2063553
412.773	0.0	missing_trigger	6	2063865
412.773	0.0	trigger	1	2063865
412.8356	0.0	missing_trigger	6	2064178
412.8356	0.0	trigger	1	2064178
412.898	0.0	missing_trigger	6	2064490
412.898	0.0	trigger	1	2064490
412.9604	0.0	missing_trigger	6	2064802
412.9604	0.0	trigger	1	2064802
413.023	0.0	missing_trigger	6	2065115
413.023	0.0	trigger	1	2065115
413.0854	0.0	missing_trigger	6	2065427
413.0854	0.0	trigger	1	2065427
413.148	0.0	missing_trigger	6	2065740
413.148	0.0	trigger	1	2065740
413.2104	0.0	missing_trigger	6	2066052
413.2104	0.0	trigger	1	2066052
413.2728	0.0	missing_trigger	6	2066364
413.2728	0.0	trigger	1	2066364
413.3354	0.0	missing_trigger	6	2066677
413.3354	0.0	trigger	1	2066677
413.3978	0.0	missing_trigger	6	2066989
413.3978	0.0	trigger	1	2066989
413.4604	0.0	missing_trigger	6	2067302
413.4604	0.0	trigger	1	2067302
413.5228	0.0	missing_trigger	6	2067614
413.5228	0.0	trigger	1	2067614
413.5852	0.0	missing_trigger	6	2067926
413.5852	0.0	trigger	1	2067926
413.6028	0.0002	Stimulus/S  2	4	2068014
413.6478	0.0	missing_trigger	6	2068239
413.6478	0.0	trigger	1	2068239
413.7102	0.0	missing_trigger	6	2068551
413.7102	0.0	trigger	1	2068551
413.7728	0.0	missing_trigger	6	2068864
413.7728	0.0	trigger	1	2068864
413.8352	0.0	missing_trigger	6	2069176
413.8352	0.0	trigger	1	2069176
413.8976	0.0	missing_trigger	6	2069488
413.8976	0.0	trigger	1	2069488
413.9608	0.0	trigger	1	2069804
413.9608	0.0002	Response/R128	3	2069804
414.0232	0.0	missing_trigger	6	2070116
414.0232	0.0	trigger	1	2070116
414.0858	0.0	missing_trigger	6	2070429
414.0858	0.0	trigger	1	2070429
414.1482	0.0	missing_trigger	6	2070741
414.1482	0.0	trigger	1	2070741
414.2108	0.0	missing_trigger	6	2071054
414.2108	0.0	trigger	1	2071054
414.2732	0.0	missing_trigger	6	2071366
414.2732	0.0	trigger	1	2071366
414.3356	0.0	missing_trigger	6	2071678
414.3356	0.0	trigger	1	2071678
414.3982	0.0	missing_trigger	6	2071991
414.3982	0.0	trigger	1	2071991
414.4606	0.0	missing_trigger	6	2072303
414.4606	0.0	trigger	1	2072303
414.5232	0.0	missing_trigger	6	2072616
414.5232	0.0	trigger	1	2072616
414.5856	0.0	missing_trigger	6	2072928
414.5856	0.0	trigger	1	2072928
414.648	0.0	missing_trigger	6	2073240
414.648	0.0	trigger	1	2073240
414.7106	0.0	missing_trigger	6	2073553
414.7106	0.0	trigger	1	2073553
414.773	0.0	missing_trigger	6	2073865
414.773	0.0	trigger	1	2073865
414.8356	0.0	missing_trigger	6	2074178
414.8356	0.0	trigger	1	2074178
414.898	0.0	missing_trigger	6	2074490
414.898	0.0	trigger	1	2074490
414.9604	0.0	missing_trigger	6	2074802
414.9604	0.0	trigger	1	2074802
415.023	0.0	missing_trigger	6	2075115
415.023	0.0	trigger	1	2075115
415.0854	0.0	missing_trigger	6	2075427
415.0854	0.0	trigger	1	2075427
415.148	0.0	missing_trigger	6	2075740
415.148	0.0	trigger	1	2075740
415.2104	0.0	missing_trigger	6	2076052
415.2104	0.0	trigger	1	2076052
415.2728	0.0	missing_trigger	6	2076364
415.2728	0.0	trigger	1	2076364
415.3354	0.0	missing_trigger	6	2076677
415.3354	0.0	trigger	1	2076677
415.3978	0.0	missing_trigger	6	2076989
415.3978	0.0	trigger	1	2076989
415.4604	0.0	missing_trigger	6	2077302
415.4604	0.0	trigger	1	2077302
415.5228	0.0	missing_trigger	6	2077614
415.5228	0.0	trigger	1	2077614
415.5852	0.0	missing_trigger	6	2077926
415.5852	0.0	trigger	1	2077926
415.6478	0.0	missing_trigger	6	2078239
415.6478	0.0	trigger	1	2078239
415.7102	0.0	missing_trigger	6	2078551
415.7102	0.0	trigger	1	2078551
415.7728	0.0	missing_trigger	6	2078864
415.7728	0.0	trigger	1	2078864
415.8352	0.0	missing_trigger	6	2079176
415.8352	0.0	trigger	1	2079176
415.8976	0.0	missing_trigger	6	2079488
415.8976	0.0	trigger	1	2079488
415.9608	0.0	trigger	1	2079804
415.9608	0.0002	Response/R128	3	2079804
416.0232	0.0	missing_trigger	6	2080116
416.0232	0.0	trigger	1	2080116
416.0858	0.0	missing_trigger	6	2080429
416.0858	0.0	trigger	1	2080429
416.1482	0.0	missing_trigger	6	2080741
416.1482	0.0	trigger	1	2080741
416.2108	0.0	missing_trigger	6	2081054
416.2108	0.0	trigger	1	2081054
416.2732	0.0	missing_trigger	6	2081366
416.2732	0.0	trigger	1	2081366
416.3356	0.0	missing_trigger	6	2081678
416.3356	0.0	trigger	1	2081678
416.3982	0.0	missing_trigger	6	2081991
416.3982	0.0	trigger	1	2081991
416.4606	0.0	missing_trigger	6	2082303
416.4606	0.0	trigger	1	2082303
416.5232	0.0	missing_trigger	6	2082616
416.5232	0.0	trigger	1	2082616
416.5856	0.0	missing_trigger	6	2082928
416.5856	0.0	trigger	1	2082928
416.648	0.0	missing_trigger	6	2083240
416.648	0.0	trigger	1	2083240
416.7106	0.0	missing_trigger	6	2083553
416.7106	0.0	trigger	1	2083553
416.773	0.0	missing_trigger	6	2083865
416.773	0.0	trigger	1	2083865
416.8356	0.0	missing_trigger	6	2084178
416.8356	0.0	trigger	1	2084178
416.898	0.0	missing_trigger	6	2084490
416.898	0.0	trigger	1	2084490
416.9604	0.0	missing_trigger	6	2084802
416.9604	0.0	trigger	1	2084802
417.023	0.0	missing_trigger	6	2085115
417.023	0.0	trigger	1	2085115
417.0854	0.0	missing_trigger	6	2085427
417.0854	0.0	trigger	1	2085427
417.148	0.0	missing_trigger	6	2085740
417.148	0.0	trigger	1	2085740
417.2104	0.0	missing_trigger	6	2086052
417.2104	0.0	trigger	1	2086052
417.2728	0.0	missing_trigger	6	2086364
417.2728	0.0	trigger	1	2086364
417.3354	0.0	missing_trigger	6	2086677
417.3354	0.0	trigger	1	2086677
417.3978	0.0	missing_trigger	6	2086989
417.3978	0.0	trigger	1	2086989
