onset	duration	trial_type	value	sample
28.7529296875	0.0	trigger	1	58886
28.7529296875	0.0	trigger	1	58886
28.8955078125	0.0	trigger	1	59178
28.8955078125	0.0	trigger	1	59178
29.0380859375	0.0	trigger	1	59470
29.0380859375	0.0	trigger	1	59470
29.1806640625	0.0	trigger	1	59762
29.1806640625	0.0	trigger	1	59762
29.3232421875	0.0	trigger	1	60054
29.3232421875	0.0	trigger	1	60054
29.4658203125	0.0	trigger	1	60346
29.4658203125	0.0	trigger	1	60346
29.6083984375	0.0	trigger	1	60638
29.6083984375	0.0	trigger	1	60638
29.75146484375	0.0	trigger	1	60931
29.75146484375	0.0	trigger	1	60931
29.89404296875	0.0	trigger	1	61223
29.89404296875	0.0	trigger	1	61223
30.03662109375	0.0	trigger	1	61515
30.03662109375	0.0	trigger	1	61515
30.17919921875	0.0	trigger	1	61807
30.17919921875	0.0	trigger	1	61807
30.32177734375	0.0	trigger	1	62099
30.32177734375	0.0	trigger	1	62099
30.46435546875	0.0	trigger	1	62391
30.46435546875	0.0	trigger	1	62391
30.60693359375	0.0	trigger	1	62683
30.60693359375	0.0	trigger	1	62683
30.74951171875	0.0	trigger	1	62975
30.74951171875	0.0	trigger	1	62975
30.892578125	0.0	trigger	1	63268
30.892578125	0.0	trigger	1	63268
31.03515625	0.0	trigger	1	63560
31.03515625	0.0	trigger	1	63560
31.177734375	0.0	trigger	1	63852
31.177734375	0.0	trigger	1	63852
31.3203125	0.0	trigger	1	64144
31.3203125	0.0	trigger	1	64144
31.462890625	0.0	trigger	1	64436
31.462890625	0.0	trigger	1	64436
31.60546875	0.0	trigger	1	64728
31.60546875	0.0	trigger	1	64728
31.7529296875	0.0	trigger	1	65030
31.7529296875	0.0	trigger	1	65030
31.89599609375	0.0	trigger	1	65323
31.89599609375	0.0	trigger	1	65323
32.03857421875	0.0	trigger	1	65615
32.03857421875	0.0	trigger	1	65615
32.18115234375	0.0	trigger	1	65907
32.18115234375	0.0	trigger	1	65907
32.32373046875	0.0	trigger	1	66199
32.32373046875	0.0	trigger	1	66199
32.46630859375	0.0	trigger	1	66491
32.46630859375	0.0	trigger	1	66491
32.60888671875	0.0	trigger	1	66783
32.60888671875	0.0	trigger	1	66783
32.75146484375	0.0	trigger	1	67075
32.75146484375	0.0	trigger	1	67075
32.89404296875	0.0	trigger	1	67367
32.89404296875	0.0	trigger	1	67367
33.03662109375	0.0	trigger	1	67659
33.03662109375	0.0	trigger	1	67659
33.1796875	0.0	trigger	1	67952
33.1796875	0.0	trigger	1	67952
33.322265625	0.0	trigger	1	68244
33.322265625	0.0	trigger	1	68244
33.46484375	0.0	trigger	1	68536
33.46484375	0.0	trigger	1	68536
33.607421875	0.0	trigger	1	68828
33.607421875	0.0	trigger	1	68828
33.75	0.0	trigger	1	69120
33.75	0.0	trigger	1	69120
33.892578125	0.0	trigger	1	69412
33.892578125	0.0	trigger	1	69412
34.03515625	0.0	trigger	1	69704
34.03515625	0.0	trigger	1	69704
34.177734375	0.0	trigger	1	69996
