arm,spike_30s_uv,spike_31.5s_uv,spike_33s_uv,spike_34.5s_uv,mittel_uv,erhalt_pct,erhalt_vs_unkorrigiert_pct
uncorrected,106.1,106.13,106.05,106.07,106.09,106.1,100.0
farm,102.92,97.01,103.88,96.25,100.02,100.0,94.3
