onset	duration	trial_type	value	sample
28.7529296875	0.0	trigger	1	58886
28.8955078125	0.0	trigger	1	59178
29.0380859375	0.0	trigger	1	59470
29.1806640625	0.0	trigger	1	59762
29.3232421875	0.0	trigger	1	60054
29.4658203125	0.0	trigger	1	60346
29.6083984375	0.0	trigger	1	60638
29.7509765625	0.0	trigger	1	60930
29.8935546875	0.0	trigger	1	61222
30.03662109375	0.0	trigger	1	61515
30.17919921875	0.0	trigger	1	61807
30.32177734375	0.0	trigger	1	62099
30.46435546875	0.0	trigger	1	62391
30.60693359375	0.0	trigger	1	62683
30.74951171875	0.0	trigger	1	62975
30.89208984375	0.0	trigger	1	63267
31.03466796875	0.0	trigger	1	63559
31.177734375	0.0	trigger	1	63852
31.3203125	0.0	trigger	1	64144
31.462890625	0.0	trigger	1	64436
31.60546875	0.0	trigger	1	64728
31.7529296875	0.0	trigger	1	65030
31.8955078125	0.0	trigger	1	65322
32.0380859375	0.0	trigger	1	65614
32.18115234375	0.0	trigger	1	65907
32.32373046875	0.0	trigger	1	66199
32.46630859375	0.0	trigger	1	66491
32.60888671875	0.0	trigger	1	66783
32.75146484375	0.0	trigger	1	67075
32.89404296875	0.0	trigger	1	67367
33.03662109375	0.0	trigger	1	67659
33.17919921875	0.0	trigger	1	67951
33.32177734375	0.0	trigger	1	68243
33.46484375	0.0	trigger	1	68536
33.607421875	0.0	trigger	1	68828
33.75	0.0	trigger	1	69120
33.892578125	0.0	trigger	1	69412
34.03515625	0.0	trigger	1	69704
34.177734375	0.0	trigger	1	69996
34.3203125	0.0	trigger	1	70288
34.462890625	0.0	trigger	1	70580
34.60546875	0.0	trigger	1	70872
34.75341796875	0.0	trigger	1	71175
34.89599609375	0.0	trigger	1	71467
35.03857421875	0.0	trigger	1	71759
35.18115234375	0.0	trigger	1	72051
35.32373046875	0.0	trigger	1	72343
35.46630859375	0.0	trigger	1	72635
35.60888671875	0.0	trigger	1	72927
35.751953125	0.0	trigger	1	73220
35.89453125	0.0	trigger	1	73512
36.037109375	0.0	trigger	1	73804
36.1796875	0.0	trigger	1	74096
36.322265625	0.0	trigger	1	74388
36.46484375	0.0	trigger	1	74680
36.607421875	0.0	trigger	1	74972
36.75	0.0	trigger	1	75264
36.89306640625	0.0	trigger	1	75557
37.03564453125	0.0	trigger	1	75849
37.17822265625	0.0	trigger	1	76141
37.32080078125	0.0	trigger	1	76433
37.46337890625	0.0	trigger	1	76725
37.60595703125	0.0	trigger	1	77017
37.75341796875	0.0	trigger	1	77319
37.896484375	0.0	trigger	1	77612
38.0390625	0.0	trigger	1	77904
38.181640625	0.0	trigger	1	78196
38.32421875	0.0	trigger	1	78488
38.466796875	0.0	trigger	1	78780
38.609375	0.0	trigger	1	79072
38.751953125	0.0	trigger	1	79364
38.89453125	0.0	trigger	1	79656
39.037109375	0.0	trigger	1	79948
39.18017578125	0.0	trigger	1	80241
39.32275390625	0.0	trigger	1	80533
39.46533203125	0.0	trigger	1	80825
39.60791015625	0.0	trigger	1	81117
39.75048828125	0.0	trigger	1	81409
39.89306640625	0.0	trigger	1	81701
40.03564453125	0.0	trigger	1	81993
40.17822265625	0.0	trigger	1	82285
40.3212890625	0.0	trigger	1	82578
40.4638671875	0.0	trigger	1	82870
40.6064453125	0.0	trigger	1	83162
40.75390625	0.0	trigger	1	83464
40.896484375	0.0	trigger	1	83756
41.0390625	0.0	trigger	1	84048
41.181640625	0.0	trigger	1	84340
41.32470703125	0.0	trigger	1	84633
41.46728515625	0.0	trigger	1	84925
41.60986328125	0.0	trigger	1	85217
41.75244140625	0.0	trigger	1	85509
41.89501953125	0.0	trigger	1	85801
42.03759765625	0.0	trigger	1	86093
42.18017578125	0.0	trigger	1	86385
42.32275390625	0.0	trigger	1	86677
42.46533203125	0.0	trigger	1	86969
42.6083984375	0.0	trigger	1	87262
42.7509765625	0.0	trigger	1	87554
42.8935546875	0.0	trigger	1	87846
43.0361328125	0.0	trigger	1	88138
43.1787109375	0.0	trigger	1	88430
43.3212890625	0.0	trigger	1	88722
43.4638671875	0.0	trigger	1	89014
43.6064453125	0.0	trigger	1	89306
43.75439453125	0.0	trigger	1	89609
43.89697265625	0.0	trigger	1	89901
44.03955078125	0.0	trigger	1	90193
44.18212890625	0.0	trigger	1	90485
44.32470703125	0.0	trigger	1	90777
44.46728515625	0.0	trigger	1	91069
44.60986328125	0.0	trigger	1	91361
44.75244140625	0.0	trigger	1	91653
44.8955078125	0.0	trigger	1	91946
45.0380859375	0.0	trigger	1	92238
45.1806640625	0.0	trigger	1	92530
45.3232421875	0.0	trigger	1	92822
45.4658203125	0.0	trigger	1	93114
45.6083984375	0.0	trigger	1	93406
45.7509765625	0.0	trigger	1	93698
45.8935546875	0.0	trigger	1	93990
46.03662109375	0.0	trigger	1	94283
46.17919921875	0.0	trigger	1	94575
46.32177734375	0.0	trigger	1	94867
46.46435546875	0.0	trigger	1	95159
46.60693359375	0.0	trigger	1	95451
46.75439453125	0.0	trigger	1	95753
46.89697265625	0.0	trigger	1	96045
47.0400390625	0.0	trigger	1	96338
47.1826171875	0.0	trigger	1	96630
47.3251953125	0.0	trigger	1	96922
47.4677734375	0.0	trigger	1	97214
47.6103515625	0.0	trigger	1	97506
47.7529296875	0.0	trigger	1	97798
